record_type,rank,models,handle,title,type,us_listed,us_in_stock,us_price,ca_listed,ca_in_stock,ca_price,current_model_tags,legacy_model_tags,discontinued_models_listed,n_discontinued_listed,page_fit_text,evidence_count,best_quotes,oem_status,competitor_price_band,class_abc,liability,h2s_printability,suggested_next
accessory_fit,,,20-x-4-25-inner-tube,"Inner Tube - 20"" x 4.25""",Spare Parts,N,,,Y,N,20.00,RE5,RM4;RMST2;RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019),RE5;RM4;RMST2,3,,,,,,,,,
accessory_fit,,,20-x-4-inner-tube,"Inner Tube - 20"" x 4""",Spare Parts,Y,Y,22.00,N,,,RE5;RE5+;RRn+;RRn2;RRn3+;RW5,RM4;RMST2;RRn1;RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019),RE5;RM4;RMST2;RRn+;RRn1;RRn2;RRn3+,7,Compatibility | RadWagon 5 (2024-2025) | RadRunner MY25 (2025) | RadRunner Plus MY25 (2025) | RadRunner Max MY25 (2025) | RadRunner 1-2 (2019-2025) | RadRunner 3 Plus (2023-2025) | RadExpand 5 Plus (2024) | RadExpand 5 (2022-2024) | RadMini 1-4 HS (2016-2022) | RadMini ST 2 (2020-2022) | Spare and r,,,,,,,,
accessory_fit,,,26-x-2-3-inner-tube,"Inner Tube - 26"" x 2.3""",Spare Parts,Y,Y,22.00,Y,Y,20.00,,RC4;RCST3;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3,2,"Compatibility | RadCity High-Step, RadCity Step-Thru, RadWagon (model year 2015 - 2019) | Kenda K-Rad - 26"" x 2.3"" tire | Details | PSI Range: 30 - 80 PSI | Sizing & Capacity | Overview | Replacement inner tube for 26"" tires 2.3"" - 2.4"" wide. | Tire performance and replacement information | Inner Tu",,,,,,,,
accessory_fit,,,26-x-4-inner-tube,"Inner Tube - 26"" x 4""",Spare Parts,Y,Y,22.00,Y,Y,20.00,RR6+;RR6+ST,RR5;RRST1;RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019),RR5;RR6+;RR6+ST;RRST1,4,"Compatibility | RadRover (all model years) | Kenda Juggernaut - 26"" x 4"" tire | Details | PSI Range: 5 - 30 PSI | Sizing & Capacity | Overview | Replacement inner tube for 26"" tires 3.5"" - 4"" wide. | Tire performance and replacement information | Inner Tube - 26"" x 4"" | You May Also Like | Out of St",,,,,,,,
accessory_fit,,,abus-adaptor-chain-130-cm,ABUS Adaptor Chain (130 cm),Accessories,Y,Y,59.99,Y,Y,79.99,RC5+;RC5+ST;RE5+;RK;RW5;RsR;RsT,RC4;RCST3;RMis1,RC4;RC5+;RC5+ST;RCST3;RMis1,5,"Compatibility | Requires the | Rad Wheel Lock by ABUS | The Rad Wheel Lock by ABUS is compatible with the RadCity 5 Plus and RadKick, as well as the legacy RadCity 3 & 4 and RadMission models. | Details | For use with an ABUS Wheel Lock. This product cannot be used on its own. | 6 mm square chain ma",,,,,,,,
accessory_fit,,,abus-adaptor-chain-85-cm,ABUS Adaptor Chain (85 cm),Accessories,Y,Y,49.99,N,,,RC5+;RC5+ST;RE5+;RK;RW5;RsR;RsT,RC4;RCST3;RMis1,RC4;RC5+;RC5+ST;RCST3;RMis1,5,"Compatibility | Requires the | Rad Wheel Lock by ABUS | The ABUS Wheel Lock is compatible with RadCity 5 Plus and RadKick, in addition to the legacy RadCity and RadMission ebikes. | Details | Pair with the | Rad Wheel Lock by ABUS | . This product can’t be used on its own. | Provides secondary secur",,,,,,,,
accessory_fit,,,abus-bordo-granit-x-plus-6500,ABUS Bordo Granit X-Plus 6500 Folding Lock,Accessories,Y,Y,189.00,Y,N,229.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,"Compatibility | Most ebike models | Mounting points may vary, cannot be mounted to the frame of the RadCity Plus Step-Thru or RadRover Plus Step-Thru | 85 cm version is not recommended with the RadRover Step-Thru or RadRover 6 Plus Step-Thru | Details | Ideal for securing high-cost bicycles | ABUS S",,,,,,,,
accessory_fit,,,abus-hyban-helmet-2-0,ABUS Hyban 2.0 Helmet,Accessories,Y,Y,79.00,N,,,RC5+;RC5+ST;RE5;RK;RR6+;RR6+ST;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RW4,16,,,,,,,,,
accessory_fit,,,abus-hyban-helmet-2-1,ABUS Hyban Helmet 2.0,Accessories,N,,,Y,N,70.00,RE5;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRnMax;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,,,,,,,,,
accessory_fit,,,ballard-cargo-bag,Ballard Cargo Bag,Accessories,Y,Y,81.75,Y,Y,96.75,RRn3+;RRnMax;RW4,RadWagon (2019),RRn3+;RW4,2,"Compatibility | Compatible with all RadWagon models, RadRunner 3 Plus, and RadRunner Max | Includes replacement clips to ensure compatibility with RadWagon models sold before 2020 | Cannot be mounted with the Thule Yepp Child Seat, rear-mounted baskets or RadRunner 3 Passenger Package. Can be used w",,,,,,,,
accessory_fit,,,basket-bag-large,Large Basket Bag,Accessories,Y,Y,47.00,N,,,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,"Compatibility | All 2018 and after model ebikes | Requires the | Large Front-Mounted Basket | or the | Large Basket | . | Requires a rear rack for rear mounting. Please check whether your bike comes with a rear rack or if you need to purchase one separately. | Details | Tough, waterproof coated rips",,,,,,,,
accessory_fit,,,basket-carry-bag-large,Large Basket Bag,Accessories,N,,,Y,Y,63.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+-MY25;RRn-MY25;RRn2;RRnMax;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn1;RRn2;RW4,15,,,,,,,,,
accessory_fit,,,basket-carry-bag-small,Small Basket Bag,Accessories,N,,,Y,N,59.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn1;RRn2;RRn3+;RW4,16,,,,,,,,,
accessory_fit,,,battery-terminal-cover,Battery Terminal Cover,Accessories,Y,Y,20.00,Y,Y,25.00,RC5+;RC5+ST;RE5+;RR6+;RR6+ST;RRn3+;RT;RW5,,RC5+;RC5+ST;RR6+;RR6+ST;RRn3+;RT,6,"Compatibility | Check whether your bike model uses a semi-integrated or external battery and choose accordingly | Current semi-integrated battery models: RadCity 5 Plus, RadRover 6 Plus, RadRunner 3 Plus (comes included with the bike), Radster Road, Radster Trail | External: All 2018 and newer model",,,,,,,,
accessory_fit,,,battery-travel-case,Battery Travel Case,Accessories,Y,Y,49.00,Y,Y,67.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,Compatibility | All 2017 and after model ebike batteries | Details | Protective EVA foam lining | Polyester outer shell with zipper closure | Interior mesh pocket with built-in key loop | Sizing & Capacity | Dimensions (LxWxH): 18 in x 4 in x 6 in (45.5 cm x 10.5 cm x 14.8 cm) | Installation & Use |,,,,,,,,
accessory_fit,,,bern-brentwood-2-0-mips-helmet,Bern Brentwood 2.0 MIPS Helmet,Accessories,Y,Y,119.00,N,,,RC5+;RC5+ST;RE5;RK;RR6+;RR6+ST;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RW4,16,,,,,,,,,
accessory_fit,,,bern-hudson-mips-helmet,Bern Hudson MIPS Helmet,Accessories,Y,Y,149.00,N,,,RC5+;RC5+ST;RE5;RK;RR6+;RR6+ST;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RW4,16,,,,,,,,,
accessory_fit,,,bern-major-mips-helmet,Bern Major MIPS Helmet,Accessories,Y,Y,130.00,N,,,RK,,,0,,,,,,,,,
accessory_fit,,,bike-adapter-bar,Bike Adapter Bar,Accessories,Y,Y,39.99,Y,Y,30.00,RC5+ST;RE5+;RK;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RW4;RsR;RsT,RCST3;RMST2;RMis1;RRST1;RRn1;RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini Step-Thru (2019),RC5+ST;RCST3;RMST2;RMis1;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RW4,11,"Compatibility | Use with the | Hollywood Racks Sport Rider Rack | to secure step-thru and mid-step models. | Note: The bike adapter bar is notrequired for the Hollywood Racks RV Rack. | Sizing & Capacity | Overview | The telescoping adaptor bar will fit various size bicycles, and will not scratch yo",,,,,,,,
accessory_fit,,,brake-cable-universal,Brake Cable Kit,Spare Parts,N,,,Y,Y,14.00,RW4,RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RW4,1,,,,,,,,,
accessory_fit,,,brake-pads-gemma-g2-semi-metallic,"Brake Pads - Gemma, G2, Semi-Metallic",Spare Parts,Y,Y,30.00,Y,N,30.00,RE5+,,,0,"Compatibility | RadExpand 5 Plus (2024-2025) | RadRunner MY25 (2025) | RadRunner Plus MY25 (2025) | RadRunner Max MY25 (2025) | R | eplacement parts are not eligible for returns or refunds. | Decrease quantity for Brake Pads - Gemma, G2, Semi-Metallic | Increase quantity for Brake Pads - Gemma, G2, ",,,,,,,,
accessory_fit,,,brake-pads-tektro-e11-11-semi-metallic,"Brake Pads - Tektro, E11.11, Organic",Spare Parts,Y,Y,25.00,Y,N,30.00,RW5,,,0,Compatibility | RadWagon 5 | Sizing & Capacity | Installation & Use | Hydraulic brakes replacement guide | Overview | Replacement brake pads for the RadWagon 5. | This includes two pads (one set) to replace either the front or rear brake pads. Order 2 sets to replace both front and rear brake pads. ,,,,,,,,
accessory_fit,,,brake-pads-tektro-p20-11-semi-metallic,"Brake Pads - Tektro, P20.11, Semi-Metallic",Spare Parts,Y,Y,25.00,Y,Y,30.00,RsR;RsT,,,0,"Compatibility | Radster Trail Lg (2024) | Radster Trail Reg (2024) | Radster Road Lg (2024) | Radster Road Reg (2024) | Decrease quantity for Brake Pads - Tektro, P20.11, Semi-Metallic | Increase quantity for Brake Pads - Tektro, P20.11, Semi-Metallic | Add to Cart | Free shipping on orders over $15",,,,,,,,
accessory_fit,,,cable-kit-shifter-radster-all,"Cable Kit - Shifter, Radster (All)",Spare Parts,Y,Y,15.00,N,,,,,,0,"Compatibility | Radster Trail Lg (2024) | Radster Trail Reg (2024) | Radster Road Lg (2024) | Radster Road Reg (2024) | Decrease quantity for Cable Kit - Shifter, Radster (All) | Increase quantity for Cable Kit - Shifter, Radster (All) | Add to Cart | Cable Kit - Shifter, Radster (All) | Overview | ",,,,,,,,
accessory_fit,,,cargo-bundle,Cargo Bundle,Bundles,Y,N,199.00,N,,,,,,0,Compatibility: | Compatible: All 2018 and after model ebikes | Installation & Use: | The Large Basket should only be mounted perpendicularly to the bike as shown in the product images. | Decrease quantity for Cargo Bundle | Increase quantity for Cargo Bundle | Out of Stock | Free shipping* | *Shippi,,,,,,,,
accessory_fit,,,cargo-net,Cargo Net,Accessories,Y,Y,15.00,Y,Y,18.75,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,,,,,,,,,
accessory_fit,,,cargo-straps,Cargo Straps,Accessories,Y,Y,18.75,Y,Y,20.25,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,,,,,,,,,
accessory_fit,,,chain,Chain,Spare Parts,N,,,Y,N,25.00,RC5+;RC5+ST;RE5;RE5+;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+,16,,,,,,,,,
accessory_fit,,,chain-6-7-8-spd-160-link-w-missing-link,Chain - 6/7/8 SPD 160 Link W/ Missing Link,Spare Parts,Y,Y,25.00,N,,,,,,0,Compatibility | All Rad Power Bikes (excluding RadTrike) | Not Compatibile | RadTrike (2023-2025) | Decrease quantity for Chain - 6/7/8 SPD 160 Link W/ Missing Link | Increase quantity for Chain - 6/7/8 SPD 160 Link W/ Missing Link | Add to Cart | Chain - 6/7/8 SPD 160 Link W/ Missing Link | Overvie,,,,,,,,
accessory_fit,,,charger-radkick-36v-2a,RadKick Battery Charger,Spare Parts,Y,Y,45.00,N,,,RK,,,0,,,,,,,,,
